Gender,Age,Game,other,Hours
female,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,40,WoW,,10
male,41-45,WoW,,10
male,41-45,WoW,,10
male,41-45,WoW,,10
female,41-45,WoW,,10
male,45,WoW,,10
male,50,WoW,,10
male,50,WoW,,10
male,51-55,WoW,,10
female,51-55,WoW,,10
male,16-20,WoW,,11
male,21-25,WoW,,11
male,<=15,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,26-30,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
female,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,31-35,WoW,,12
male,36-40,WoW,,12
male,36-40,WoW,,12
male,36-40,WoW,,12
male,36-40,WoW,,12
male,36-40,WoW,,12
male,36-40,WoW,,12
male,36-40,WoW,,12
female,45,WoW,,12
male,46-50,WoW,,12
male,46-50,WoW,,12
male,51-55,WoW,,12
male,60,WoW,,12
female,60+,WoW,,12
male,16-20,WoW,,14
male,16-20,WoW,,14
male,16-20,WoW,,14
male,16-20,WoW,,14
male,16-20,WoW,,14
male,16-20,WoW,,14
male,16-20,WoW,,14
male,16-20,WoW,,14
male,16-20,WoW,,14
male,21-25,WoW,,14
male,21-25,WoW,,14
male,21-25,WoW,,14
male,21-25,WoW,,14
male,21-25,WoW,,14
male,21-25,WoW,,14
