Gender,Age,Game,other,Hours
male,25,WoW,,12
male,25,WoW,,12
male,25,WoW,,12
male,25,WoW,,12
male,25,WoW,,12
male,26,WoW,,12
male,28,WoW,,12
male,28,WoW,,12
male,29,WoW,,12
male,29,WoW,,12
male,30,WoW,,12
male,30,WoW,,12
male,30,WoW,,12
male,30,WoW,,12
male,31,WoW,,12
female,32,WoW,,12
male,32,WoW,,12
male,32,WoW,,12
male,32,WoW,,12
male,32,WoW,,12
male,32,WoW,,12
male,32,WoW,,12
male,33,WoW,,12
male,34,WoW,,12
male,34,WoW,,12
male,35,WoW,,12
male,36,WoW,,12
male,36,WoW,,12
male,37,WoW,,12
male,37,WoW,,12
male,38,WoW,,12
male,39,WoW,,12
female,45,WoW,,12
male,46,WoW,,12
male,49,WoW,,12
male,54,WoW,,12
male,60,WoW,,12
female,81,WoW,,12
male,17,WoW,,14
male,17,WoW,,14
male,18,WoW,,14
male,18,WoW,,14
male,19,WoW,,14
male,19,WoW,,14
male,19,WoW,,14
male,20,WoW,,14
male,20,WoW,,14
male,21,WoW,,14
male,21,WoW,,14
male,21,WoW,,14
male,21,WoW,,14
male,22,WoW,,14
male,22,WoW,,14
male,23,WoW,,14
female,24,WoW,,14
male,24,WoW,,14
male,24,WoW,,14
male,24,WoW,,14
male,25,WoW,,14
male,26,WoW,"Lineage 2, Sphere, MU",14
male,27,WoW,,14
male,28,WoW,,14
male,28,WoW,,14
female,29,WoW,,14
male,29,WoW,,14
male,29,WoW,,14
male,29,WoW,,14
male,31,WoW,,14
male,31,WoW,,14
male,31,WoW,,14
male,32,WoW,,14
male,32,WoW,,14
male,33,WoW,,14
male,33,WoW,,14
male,34,WoW,,14
male,35,WoW,,14
male,36,WoW,,14
female,38,WoW,,14
male,43,WoW,,14
male,49,WoW,,14
male,14,WoW,,15
male,15,WoW,,15
male,16,WoW,,15
male,16,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
male,18,WoW,,15
female,19,WoW,,15
female,19,WoW,,15
male,19,WoW,,15
male,19,WoW,,15
male,19,WoW,,15
male,19,WoW,,15
male,19,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,20,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
male,21,WoW,,15
female,22,WoW,,15
female,22,WoW,,15
male,22,WoW,,15
male,22,WoW,,15
male,22,WoW,,15
male,22,WoW,,15
male,22,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,23,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
male,24,WoW,,15
female,25,WoW,,15
female,25,WoW,,15
male,25,WoW,,15
male,25,WoW,,15
male,25,WoW,,15
male,25,WoW,,15
male,25,WoW,,15
male,26,WoW,,15
male,26,WoW,,15
male,26,WoW,,15
male,26,WoW,,15
male,26,WoW,,15
male,27,WoW,,15
male,27,WoW,,15
male,27,WoW,,15
male,27,WoW,,15
male,27,WoW,,15
male,27,WoW,,15
male,27,WoW,,15
male,27,WoW,,15
female,28,WoW,,15
female,28,WoW,,15
male,28,WoW,,15
male,28,WoW,,15
male,28,WoW,,15
male,28,WoW,,15
male,28,WoW,,15
male,29,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,30,WoW,,15
male,31,WoW,,15
male,31,WoW,,15
male,31,WoW,,15
male,31,WoW,,15
male,31,WoW,,15
male,31,WoW,,15
