Gender,Age,Game,Hours
female,40-41,EQ2,1
female,46-47,AC1,1
male,54-55,EQ2,1
male,16-17,SWG,1
male,18-19,WoW,1
male,18-19,AO,1
male,18-19,WoW,1
male,18-19,WoW,1
male,18-19,Other,1
male,18-19,Other,1
female,22-23,WoW,1
male,22-23,WoW,1
male,22-23,SWG,1
male,24-25,WoW,1
male,24-25,WoW,1
male,24-25,FFXI,1
female,26-27,WoW,1
male,26-27,WoW,1
male,28-29,EQ2,1
male,28-29,CoH,1
male,34-35,EQ2,1
female,36-37,EQ2,1
male,36-37,UO,1
male,38-39,WoW,1
male,12-13,WoW,2
female,14-15,Other,2
male,14-15,WoW,2
male,16-17,EQ,2
male,16-17,Other,2
male,16-17,EQ,2
male,16-17,WoW,2
male,16-17,WoW,2
male,16-17,WoW,2
male,18-19,WoW,2
male,18-19,WoW,2
male,18-19,AO,2
male,18-19,EQ2,2
female,20-21,EQ2,2
female,20-21,WoW,2
male,20-21,EQ,2
male,20-21,UO,2
male,20-21,WoW,2
male,20-21,Other,2
male,20-21,WoW,2
male,20-21,WoW,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,AO,2
male,22-23,WoW,2
male,22-23,EQ2,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,AO,2
male,24-25,EQ2,2
female,24-25,UO,2
male,24-25,EQ,2
male,24-25,EQ,2
male,24-25,WoW,2
male,24-25,WoW,2
female,26-27,WoW,2
male,26-27,WoW,2
male,26-27,SWG,2
male,26-27,EQ,2
male,26-27,UO,2
male,26-27,EQ2,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,EQ,2
male,26-27,FFXI,2
male,26-27,CoH,2
male,28-29,SWG,2
male,28-29,SWG,2
male,28-29,EQ,2
male,28-29,WoW,2
male,28-29,Other,2
female,30-31,AO,2
female,30-31,EQ2,2
male,30-31,WoW,2
male,30-31,Other,2
male,30-31,WoW,2
female,30-31,EQ,2
male,30-31,WoW,2
male,30-31,Other,2
male,30-31,Other,2
male,30-31,WoW,2
male,30-31,CoH,2
male,30-31,WoW,2
male,32-33,WoW,2
male,32-33,CoH,2
female,32-33,SWG,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,EQ2,2
male,34-35,CoH,2
male,34-35,WoW,2
male,34-35,EQ,2
male,34-35,EQ2,2
female,36-37,WoW,2
male,36-37,EQ,2
male,36-37,WoW,2
male,38-39,EQ,2
male,38-39,EQ2,2
male,38-39,WoW,2
female,40-41,Other,2
male,40-41,Other,2
female,40-41,WoW,2
male,40-41,WoW,2
male,40-41,UO,2
male,42-43,CoH,2
male,42-43,DAOC,2
male,44-45,WoW,2
male,50-51,WoW,2
male,50-51,WoW,2
male,14-15,Other,2
male,16-17,WoW,2
male,16-17,WoW,2
male,24-25,EQ,2
female,28-29,WoW,2
male,32-33,WoW,2
male,34-35,DAOC,2
male,14-15,WoW,2
male,16-17,WoW,2
male,16-17,WoW,2
male,16-17,WoW,2
male,16-17,WoW,2
female,16-17,FFXI,2
male,16-17,AO,2
male,16-17,EQ2,2
male,16-17,EQ2,2
male,16-17,Other,2
female,18-19,EQ2,2
male,18-19,WoW,2
male,18-19,EQ2,2
male,18-19,Other,2
male,18-19,EQ,2
male,18-19,WoW,2
male,18-19,WoW,2
male,18-19,WoW,2
male,18-19,WoW,2
male,18-19,Other,2
male,18-19,Other,2
male,18-19,WoW,2
male,18-19,WoW,2
male,18-19,Other,2
male,18-19,WoW,2
male,18-19,UO,2
male,18-19,EQ,2
male,18-19,Other,2
male,18-19,Other,2
male,18-19,WoW,2
male,18-19,WoW,2
male,18-19,EQ,2
male,18-19,WoW,2
male,18-19,AO,2
male,18-19,Other,2
male,18-19,WoW,2
male,18-19,EQ,2
male,18-19,WoW,2
male,18-19,SWG,2
male,18-19,WoW,2
male,18-19,WoW,2
male,18-19,Other,2
male,18-19,WoW,2
male,18-19,Other,2
male,20-21,WoW,2
male,20-21,EQ2,2
male,20-21,WoW,2
male,20-21,EQ2,2
male,20-21,FFXI,2
male,20-21,EQ,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,Other,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
female,20-21,CoH,2
female,20-21,WoW,2
male,20-21,Other,2
male,20-21,EQ,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,CoH,2
male,20-21,UO,2
male,20-21,Other,2
male,20-21,Other,2
male,20-21,WoW,2
female,22-23,EQ2,2
female,22-23,CoH,2
female,22-23,WoW,2
male,22-23,Other,2
male,22-23,AO,2
male,22-23,CoH,2
male,22-23,EQ2,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,EQ,2
male,22-23,Other,2
female,22-23,EQ2,2
male,22-23,UO,2
male,22-23,EQ,2
male,22-23,UO,2
male,22-23,Other,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,Other,2
male,22-23,WoW,2
male,22-23,EQ,2
male,22-23,WoW,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,WoW,2
female,24-25,WoW,2
female,24-25,WoW,2
female,24-25,Other,2
male,24-25,Other,2
male,24-25,WoW,2
male,24-25,UO,2
male,24-25,WoW,2
male,24-25,EQ,2
male,24-25,WoW,2
male,24-25,Other,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,EQ2,2
male,24-25,AO,2
male,24-25,Other,2
male,24-25,Other,2
male,26-27,DAOC,2
male,26-27,UO,2
male,26-27,Other,2
male,26-27,Other,2
male,26-27,EQ,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,EQ,2
male,26-27,Other,2
female,26-27,EQ,2
female,26-27,EQ,2
female,26-27,CoH,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,SWG,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,WoW,2
male,26-27,Other,2
male,26-27,WoW,2
male,26-27,WoW,2
female,28-29,AO,2
female,28-29,EQ2,2
male,28-29,WoW,2
male,28-29,EQ2,2
male,28-29,SWG,2
male,28-29,EQ2,2
male,28-29,WoW,2
male,28-29,SWG,2
male,28-29,WoW,2
male,28-29,WoW,2
male,28-29,Other,2
female,28-29,CoH,2
male,28-29,WoW,2
male,28-29,SWG,2
male,28-29,SWG,2
male,28-29,DAOC,2
male,28-29,SWG,2
female,30-31,UO,2
female,30-31,EQ2,2
male,30-31,UO,2
male,30-31,EQ2,2
male,30-31,EQ2,2
male,30-31,DAOC,2
male,30-31,WoW,2
male,30-31,EQ2,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,SWG,2
male,30-31,Other,2
female,30-31,EQ2,2
female,30-31,WoW,2
male,30-31,WoW,2
male,30-31,CoH,2
male,30-31,CoH,2
male,30-31,WoW,2
male,30-31,EQ2,2
male,30-31,CoH,2
male,30-31,WoW,2
male,30-31,EQ2,2
male,30-31,SWG,2
male,32-33,AO,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,DAOC,2
male,32-33,AC1,2
male,32-33,Other,2
male,32-33,CoH,2
male,32-33,Other,2
female,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,EQ2,2
male,32-33,Other,2
male,32-33,EQ,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
female,34-35,DAOC,2
female,34-35,WoW,2
female,34-35,DAOC,2
male,34-35,EQ2,2
male,34-35,WoW,2
male,34-35,DAOC,2
male,34-35,WoW,2
male,34-35,WoW,2
female,34-35,UO,2
female,34-35,CoH,2
male,34-35,Other,2
male,34-35,EQ,2
male,34-35,Other,2
male,34-35,CoH,2
male,34-35,EQ2,2
male,34-35,Other,2
male,34-35,UO,2
male,34-35,UO,2
male,34-35,WoW,2
male,34-35,WoW,2
male,34-35,WoW,2
female,36-37,DAOC,2
female,36-37,WoW,2
male,36-37,WoW,2
male,36-37,AC1,2
male,36-37,WoW,2
